data,naoInfetados,Infetados,hospitalizados,internadosUCI,obitos
01-11-2020,10102947,60026,2122,284,37
02-11-2020,10101821,60963,2255,294,46
03-11-2020,10102400,60219,2349,320,45
04-11-2020,10097267,65300,2337,325,59
05-11-2020,10095344,67157,2362,320,46
06-11-2020,10092012,70354,2425,340,52
07-11-2020,10089344,72945,2420,366,56
08-11-2020,10085480,76647,2522,378,48
09-11-2020,10083544,78378,2651,391,63
10-11-2020,10084440,77338,2742,382,62
11-11-2020,10082928,78716,2785,391,82
12-11-2020,10080424,81141,2794,383,78
13-11-2020,10077454,84032,2799,388,69
14-11-2020,10075963,85444,2798,413,55
15-11-2020,10072344,88854,2929,415,76
16-11-2020,10080940,80045,3040,426,91
17-11-2020,10083785,77126,3028,431,81
18-11-2020,10082127,78681,3051,432,79
19-11-2020,10079363,81384,3017,458,69
20-11-2020,10077865,82736,3079,481,61
21-11-2020,10077822,82767,3025,485,62
22-11-2020,10076442,83942,3151,491,73
23-11-2020,10076209,84004,3241,498,74
24-11-2020,10079654,80432,3275,506,85
25-11-2020,10079500,80528,3251,517,71
26-11-2020,10077765,82241,3192,516,82
27-11-2020,10077797,82116,3208,526,67
28-11-2020,10079808,80068,3155,529,87
29-11-2020,10078877,80838,3245,536,64
30-11-2020,10078937,80614,3342,525,78
01-12-2020,10084542,75008,3275,521,72
02-12-2020,10083660,75755,3338,525,68
03-12-2020,10085468,73876,3330,525,79
04-12-2020,10085587,73712,3295,526,79
05-12-2020,10085740,73561,3229,517,73
06-12-2020,10084722,74456,3268,514,87
07-12-2020,10084815,74187,3367,513,78
08-12-2020,10088613,70426,3263,499,81
09-12-2020,10086714,72181,3332,504,70
10-12-2020,10088451,70381,3304,509,86
11-12-2020,10087547,71266,3230,507,95
12-12-2020,10088080,70786,3093,503,88
13-12-2020,10086831,71863,3157,513,98
14-12-2020,10087495,71012,3254,513,90
15-12-2020,10090673,67805,3206,506,84
16-12-2020,10089679,68762,3181,486,82
17-12-2020,10088699,69686,3142,494,87
18-12-2020,10088116,70285,3061,484,75
19-12-2020,10088492,69910,2973,485,86
20-12-2020,10087525,70754,3027,483,71
21-12-2020,10087646,70426,3158,502,57
22-12-2020,10090489,67577,3095,508,63
23-12-2020,10089610,68469,2990,511,89
24-12-2020,10089462,68690,2853,505,70
25-12-2020,10088009,70178,2754,504,65
26-12-2020,10088295,69769,2790,513,78
27-12-2020,10089722,68208,2870,504,63
28-12-2020,10089469,68307,2967,503,58
29-12-2020,10092299,65457,2930,486,74
30-12-2020,10089505,68205,2896,487,79
31-12-2020,10085199,72496,2840,482,76
01-01-2021,10082673,74989,2806,483,66
02-01-2021,10080853,76675,2858,492,73
03-01-2021,10079660,77601,3044,500,73
04-01-2021,10077038,80008,3171,510,78
05-01-2021,10076682,80183,3260,512,90
06-01-2021,10069736,87004,3293,513,91
07-01-2021,10063244,93360,3333,514,95
08-01-2021,10057408,98938,3451,536,118
09-01-2021,10053721,102406,3555,540,111
10-01-2021,10049014,106778,3770,558,102
11-01-2021,10046136,109312,3983,567,122
12-01-2021,10044813,110388,4043,599,155
13-01-2021,10038523,116328,4240,596,156
14-01-2021,10032745,121815,4368,611,148
15-01-2021,10028337,125861,4560,622,159
16-01-2021,10025758,128165,4653,638,166
17-01-2021,10019515,134011,4889,647,152
18-01-2021,10017180,135886,5165,664,167
19-01-2021,10016875,135841,5291,670,218
20-01-2021,10008508,143776,5493,681,219
21-01-2021,10000679,151226,5630,702,221
22-01-2021,9993849,157660,5779,715,234
23-01-2021,9988136,162951,5922,720,274
24-01-2021,9981365,169230,6117,742,275
25-01-2021,9979380,170635,6420,767,252
26-01-2021,9982293,167381,6472,765,291
27-01-2021,9976339,172893,6603,783,293
28-01-2021,9968892,180076,6565,782,303
29-01-2021,9966793,181811,6627,806,278
30-01-2021,9968418,179939,6544,843,293
31-01-2021,9966266,181623,6694,858,303
01-02-2021,9968252,179180,6869,865,275
02-02-2021,9980391,166888,6775,852,260
03-02-2021,9982592,164513,6684,877,240
04-02-2021,9985640,161442,6496,863,225
05-02-2021,9990109,156758,6412,904,258
06-02-2021,9998561,148359,6158,891,214
07-02-2021,10001562,145090,6248,865,204
08-02-2021,10005704,140644,6344,877,196
09-02-2021,10018567,127867,6070,862,203
10-02-2021,10023211,123312,5829,853,161
11-02-2021,10028270,118362,5570,836,167
12-02-2021,10033363,113450,5230,846,149
13-02-2021,10039716,107371,4850,803,149
14-02-2021,10041862,105119,4826,795,138
15-02-2021,10044102,102794,4832,784,90
16-02-2021,10051847,95320,4482,752,111
17-02-2021,10055243,92175,4137,719,127
18-02-2021,10058049,89613,3819,688,105
19-02-2021,10060767,87082,3584,669,67
20-02-2021,10064560,83526,3284,656,76
21-02-2021,10065666,82341,3316,638,65
22-02-2021,10067309,80642,3322,627,61
23-02-2021,10071184,77044,3012,597,63
24-02-2021,10073057,75396,2767,567,50
25-02-2021,10074741,73848,2613,536,49
26-02-2021,10076717,72037,2404,522,58
27-02-2021,10078720,70255,2180,492,33
28-02-2021,10079689,69268,2165,484,41
01-03-2021,10080566,68370,2167,469,34
02-03-2021,10083298,65793,1997,446,38
03-03-2021,10084454,64797,1827,415,41
04-03-2021,10085413,63945,1708,399,28
05-03-2021,10086211,63260,1583,383,28
06-03-2021,10087333,62299,1416,363,26
07-03-2021,10087628,61987,1414,354,28
08-03-2021,10088065,61548,1403,342,25
09-03-2021,10089245,60493,1278,312,30
10-03-2021,10092670,57152,1201,283,22
11-03-2021,10098169,51744,1102,273,18
12-03-2021,10103229,46732,1046,266,15
13-03-2021,10109233,40788,980,253,19
14-03-2021,10111865,38156,976,242,15
15-03-2021,10113971,36031,996,231,10
16-03-2021,10114819,35229,955,213,13
17-03-2021,10115311,34829,856,205,15
18-03-2021,10115452,34713,828,187,21
19-03-2021,10116499,33699,789,182,11
20-03-2021,10116853,33394,744,170,8
21-03-2021,10116777,33443,765,170,6
22-03-2021,10117083,33120,771,165,16
23-03-2021,10117895,32332,743,159,10
24-03-2021,10118107,32144,712,155,11
25-03-2021,10118312,31948,695,154,9
26-03-2021,10118740,31540,669,155,5
27-03-2021,10122122,28208,618,148,8
28-03-2021,10122132,28179,633,142,10
29-03-2021,10122297,28024,623,136,6
30-03-2021,10123608,26757,584,129,2
31-03-2021,10123726,26664,558,127,3
01-04-2021,10123854,26543,538,129,11
02-04-2021,10124072,26339,513,131,9
03-04-2021,10124116,26294,512,126,7
04-04-2021,10124276,26134,517,117,4
05-04-2021,10124424,25966,536,112,6
06-04-2021,10124475,25944,504,113,2
07-04-2021,10124582,25847,488,116,3
08-04-2021,10124568,25839,495,122,9
09-04-2021,10124505,25900,486,128,5
10-04-2021,10124618,25810,466,119,6
11-04-2021,10124468,25960,466,113,6
12-04-2021,10124623,25784,479,119,2
13-04-2021,10124982,25441,459,118,5
14-04-2021,10124972,25457,447,116,8
15-04-2021,10125044,25414,423,109,2
16-04-2021,10125089,25367,429,101,4
17-04-2021,10125119,25344,415,103,5
18-04-2021,10125054,25387,428,109,3
19-04-2021,10125352,25059,454,112,1
20-04-2021,10125854,24576,429,113,5
21-04-2021,10125811,24653,397,110,1
22-04-2021,10125704,24764,395,104,4
23-04-2021,10125795,24689,384,98,1
24-04-2021,10125896,24628,342,98,2
25-04-2021,10125720,24792,348,98,6
26-04-2021,10125840,24662,365,91,0
27-04-2021,10126705,23816,346,86,5
28-04-2021,10126721,23809,332,88,3
29-04-2021,10126803,23733,324,89,1
30-04-2021,10126855,23681,324,89,0
01-05-2021,10127067,23494,302,84,2
02-05-2021,10126971,23579,311,85,1
03-05-2021,10127178,23356,322,90,0
04-05-2021,10127726,22833,296,87,4
05-05-2021,10127855,22705,297,83,2
06-05-2021,10128040,22535,283,77,5
07-05-2021,10128158,22421,280,75,1
08-05-2021,10128338,22260,260,74,2
09-05-2021,10128276,22313,268,74,1
10-05-2021,10128478,22102,277,73,1
11-05-2021,10128893,21708,257,71,1
12-05-2021,10128732,21874,248,71,4
13-05-2021,10128641,21969,244,70,1
14-05-2021,10128521,22095,236,72,0
15-05-2021,10128452,22171,223,71,7
16-05-2021,10128320,22275,245,76,1
17-05-2021,10128415,22181,246,72,2
18-05-2021,10128616,21997,233,66,2
19-05-2021,10128554,22089,211,56,2
20-05-2021,10128450,22193,208,58,1
21-05-2021,10128357,22287,207,55,3
22-05-2021,10128309,22328,210,59,0
23-05-2021,10128113,22515,220,58,0
24-05-2021,10128141,22468,239,57,1
25-05-2021,10128442,22171,237,52,3
26-05-2021,10128268,22347,233,53,1
27-05-2021,10128163,22452,233,53,0
28-05-2021,10128068,22534,246,52,1
29-05-2021,10127974,22633,244,49,0
30-05-2021,10127753,22822,271,54,0
31-05-2021,10127630,22933,283,52,2
01-06-2021,10127880,22700,268,50,0
02-06-2021,10127615,22965,264,53,1
03-06-2021,10127245,23343,254,52,3
04-06-2021,10127101,23473,267,53,0
05-06-2021,10127213,23362,265,51,3
06-06-2021,10126857,23715,265,52,2
07-06-2021,10126713,23824,291,59,2
08-06-2021,10126893,23631,296,66,1
09-06-2021,10126513,23996,307,70,0
10-06-2021,10126147,24366,295,72,6
11-06-2021,10125912,24589,306,72,1
12-06-2021,10125900,24601,300,77,1
13-06-2021,10125411,25058,325,82,2
14-06-2021,10125056,25403,340,77,0
15-06-2021,10124956,25493,346,79,2
16-06-2021,10124186,26248,351,83,6
17-06-2021,10123597,26817,364,88,2
18-06-2021,10122952,27425,391,94,4
19-06-2021,10122650,27723,389,99,1
20-06-2021,10122059,28297,405,97,3
21-06-2021,10121658,28657,443,97,3
22-06-2021,10121920,28378,450,101,6
23-06-2021,10121297,29012,437,100,3
24-06-2021,10120610,29701,427,106,2
25-06-2021,10119861,30442,431,108,2
26-06-2021,10119521,30759,447,113,2
27-06-2021,10118467,31779,477,116,1
28-06-2021,10118149,32071,502,115,2
29-06-2021,10118026,32194,492,119,6
30-06-2021,10116732,33471,504,120,4
01-07-2021,10115519,34681,509,113,5
02-07-2021,10114310,35855,532,118,7
03-07-2021,10113408,36738,543,122,4
04-07-2021,10111992,38124,567,128,0
05-07-2021,10111228,38829,613,136,5
06-07-2021,10111571,38488,613,133,1
07-07-2021,10109806,40258,603,130,8
08-07-2021,10108190,41863,599,136,9
09-07-2021,10106700,43323,617,141,7
10-07-2021,10105993,44006,632,144,6
11-07-2021,10104640,45302,672,153,8
12-07-2021,10103819,46048,729,163,8
13-07-2021,10104648,45199,742,161,9
14-07-2021,10102728,47108,734,171,9
15-07-2021,10101312,48476,774,174,5
16-07-2021,10100335,49445,778,171,7
17-07-2021,10099995,49776,780,173,5
18-07-2021,10097964,51771,805,176,8
19-07-2021,10097440,52236,851,181,8
20-07-2021,10099186,50487,854,177,4
21-07-2021,10097506,52147,867,171,13
22-07-2021,10096649,52988,860,178,16
23-07-2021,10096092,53534,855,178,16
24-07-2021,10096841,52782,835,181,20
25-07-2021,10095362,54197,879,193,8
26-07-2021,10095509,53996,919,198,9
27-07-2021,10098233,51255,928,200,6
28-07-2021,10098039,51430,934,200,13
29-07-2021,10097870,51561,954,208,10
30-07-2021,10098645,50811,924,199,14
31-07-2021,10100216,49256,895,195,17
01-08-2021,10099377,50054,923,200,8
02-08-2021,10099587,49787,968,203,9
03-08-2021,10101901,47476,945,204,19
04-08-2021,10102014,47374,919,204,15
05-08-2021,10104209,45198,898,196,10
06-08-2021,10104777,44646,866,194,18
07-08-2021,10105424,44018,838,186,17
08-08-2021,10104490,44933,849,184,10
09-08-2021,10104658,44734,857,189,18
10-08-2021,10106162,43244,829,186,17
11-08-2021,10105524,43919,785,181,12
12-08-2021,10105068,44407,754,169,11
13-08-2021,10105037,44455,732,162,12
14-08-2021,10105293,44193,727,161,12
15-08-2021,10104093,45367,744,157,13
16-08-2021,10104124,45304,768,154,11
17-08-2021,10105706,43745,744,144,11
18-08-2021,10104983,44505,695,139,17
19-08-2021,10104672,44809,688,141,12
20-08-2021,10104555,44916,687,143,9
21-08-2021,10104879,44588,681,145,8
22-08-2021,10103959,45465,708,152,9
23-08-2021,10103852,45542,733,151,6
24-08-2021,10105221,44180,716,148,13
25-08-2021,10104427,44990,688,144,16
26-08-2021,10104006,45408,670,150,15
27-08-2021,10103975,45426,675,144,14
28-08-2021,10104455,44957,657,143,8
29-08-2021,10103697,45659,698,148,10
30-08-2021,10103758,45581,705,149,9
31-08-2021,10105280,44087,677,136,13
01-09-2021,10106081,43273,681,131,14
02-09-2021,10105365,43957,695,140,9
03-09-2021,10106025,43309,681,136,6
04-09-2021,10106977,42358,664,139,13
05-09-2021,10106899,42423,665,138,13
06-09-2021,10107326,41965,682,140,12
07-09-2021,10109412,39910,650,135,6
08-09-2021,10109676,39665,621,135,10
09-09-2021,10110123,39240,597,127,10
10-09-2021,10110773,38620,569,118,7
11-09-2021,10111660,37737,552,121,10
12-09-2021,10111554,37819,569,120,8
13-09-2021,10111987,37365,586,119,5
14-09-2021,10113395,35989,551,116,6
15-09-2021,10113855,35540,527,119,10
16-09-2021,10114270,35165,497,103,6
17-09-2021,10114831,34626,474,97,7
18-09-2021,10115522,33952,457,90,7
19-09-2021,10115502,33973,455,86,5
20-09-2021,10115822,33634,471,82,7
21-09-2021,10116867,32598,455,78,11
22-09-2021,10117217,32269,426,78,8
23-09-2021,10117332,32166,412,75,5
24-09-2021,10117731,31759,410,76,9
25-09-2021,10117999,31481,408,83,5
26-09-2021,10117936,31535,415,83,2
27-09-2021,10118184,31285,420,79,1
28-09-2021,10118941,30547,399,74,7
29-09-2021,10119006,30495,386,68,6
30-09-2021,10118905,30611,366,66,7
01-10-2021,10119019,30501,357,67,4
02-10-2021,10119278,30257,337,65,7
03-10-2021,10119152,30367,342,69,7
04-10-2021,10119282,30222,351,68,7
05-10-2021,10119627,29884,346,62,4
06-10-2021,10119448,30058,349,60,4
07-10-2021,10119576,29918,353,57,11
08-10-2021,10119458,30054,332,52,8
09-10-2021,10119529,29984,321,55,7
10-10-2021,10119338,30155,334,55,7
11-10-2021,10119294,30167,356,58,7
12-10-2021,10119629,29837,345,56,8
13-10-2021,10119435,30034,335,54,9
14-10-2021,10119398,30077,321,56,6
15-10-2021,10119277,30212,301,55,7
16-10-2021,10119380,30111,285,59,10
17-10-2021,10119161,30309,295,61,9
18-10-2021,10119244,30205,312,62,3
19-10-2021,10119437,30021,299,60,6
20-10-2021,10119102,30368,286,58,3
21-10-2021,10118899,30561,288,58,8
22-10-2021,10118649,30805,284,60,8
23-10-2021,10118510,30955,274,55,4
24-10-2021,10118157,31312,269,52,4
25-10-2021,10118100,31336,290,59,5
26-10-2021,10118541,30878,301,62,3
27-10-2021,10118159,31243,316,61,3
28-10-2021,10117941,31455,318,60,5
29-10-2021,10117834,31540,331,65,4
30-10-2021,10117933,31452,318,64,3
31-10-2021,10117482,31890,335,59,1
01-11-2021,10117401,31940,360,60,5
02-11-2021,10117285,32036,372,59,9
03-11-2021,10117354,31938,384,67,9
04-11-2021,10116829,32480,357,73,4
05-11-2021,10116452,32867,345,66,9
06-11-2021,10116301,33039,323,62,5
07-11-2021,10115629,33686,341,64,5
08-11-2021,10115440,33852,360,62,6
09-11-2021,10115542,33743,361,60,8
10-11-2021,10114731,34528,380,62,5
11-11-2021,10113995,35250,383,64,9
12-11-2021,10112989,36224,411,65,3
13-11-2021,10112263,36925,424,69,8
14-11-2021,10111195,37931,465,75,15
15-11-2021,10110754,38358,470,76,8
16-11-2021,10110811,38272,486,80,9
17-11-2021,10109251,39800,514,75,9
18-11-2021,10107898,41135,523,72,12
19-11-2021,10106745,42271,528,79,5
20-11-2021,10105968,43013,544,88,10
21-11-2021,10103956,44960,597,89,11
22-11-2021,10103104,45759,628,93,18
23-11-2021,10103058,45770,649,93,14
24-11-2021,10100735,48032,681,105,17
25-11-2021,10099219,49525,691,103,15
26-11-2021,10097845,50880,705,100,8
27-11-2021,10097017,51689,708,104,12
28-11-2021,10094921,53717,764,104,12
29-11-2021,10094205,54368,809,111,13
30-11-2021,10094962,53571,833,116,11
01-12-2021,10092730,55778,841,116,17
02-12-2021,10090770,57638,916,128,13
03-12-2021,10091961,56439,902,129,21
04-12-2021,10089567,58833,879,130,22
05-12-2021,10086978,61363,911,134,23
06-12-2021,10086132,62157,948,135,14
07-12-2021,10087698,60584,936,133,21
08-12-2021,10085447,62834,917,138,15
09-12-2021,10083080,65130,961,142,23
10-12-2021,10083714,64499,947,137,16
11-12-2021,10082536,65648,952,142,19
12-12-2021,10080041,68117,964,143,13
13-12-2021,10079574,68538,994,144,15
14-12-2021,10082384,65757,953,142,14
15-12-2021,10080148,67960,967,150,11
16-12-2021,10078424,69672,952,158,19
17-12-2021,10077686,70406,943,147,24
18-12-2021,10077678,70440,905,147,12
19-12-2021,10075080,72989,931,145,25
20-12-2021,10074332,73700,943,152,18
21-12-2021,10075167,72887,904,153,16
22-12-2021,10069977,78059,909,155,11
23-12-2021,10063399,84643,893,148,17
24-12-2021,10056112,91947,864,149,11
25-12-2021,10048459,99594,857,152,10
26-12-2021,10046301,101719,878,151,13
27-12-2021,10042355,105614,914,150,16
28-12-2021,10033385,114541,936,152,19
29-12-2021,10011860,136020,971,151,12
30-12-2021,9989384,158424,1034,144,16
31-12-2021,9969087,178712,1024,145,18
01-01-2022,9951559,196223,1023,142,21
02-01-2022,9944382,203322,1081,148,14
03-01-2022,9939750,207859,1167,147,10
04-01-2022,9933809,213749,1203,147,15
05-01-2022,9908402,239098,1251,143,14
06-01-2022,9899960,247440,1311,158,25
07-01-2022,9893098,254240,1353,161,17
